control,gc_v0_mean_bump_count,gc_v0_mean_d2_sign_changes,gc_v0_mean_fwhm,gc_v0_mean_nu_peak,gc_v0_mean_peak_height,gc_v0_mean_shape_energy,gc_v0_obs_bump_count,gc_v0_obs_d2_sign_changes,gc_v0_obs_fwhm,gc_v0_obs_nu_peak,gc_v0_obs_peak_height,gc_v0_obs_shape_energy,gc_v1_mean_bump_count,gc_v1_mean_d2_sign_changes,gc_v1_mean_fwhm,gc_v1_mean_nu_peak,gc_v1_mean_peak_height,gc_v1_mean_shape_energy,gc_v1_obs_bump_count,gc_v1_obs_d2_sign_changes,gc_v1_obs_fwhm,gc_v1_obs_nu_peak,gc_v1_obs_peak_height,gc_v1_obs_shape_energy,json,kind,lmax,n_sims,nside,p_two_sided_mf,run_id,run_role,seed,v1_energy_ratio,v1_peak_shift
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9994360338846866,1.5755134418694063,0,3,3.2,-3.0,1.0,1.5743985242407972,1,2,2.3000000000000003,0.40000000000000036,346.1291080062225,443.5722756434891,3,6,1.8000000000000003,0.5,399.78931356689293,460.3727216116706,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22222586023/lcdm_recon__mf_v0_v1__sim000__000__lmax128__nside256__phasesims2000__seed2400__run22222586023.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.0009995002498750624,22222586023,control,2400,1.037875329209449,0.09999999999999964
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.2,-3.0,0.9996419893900541,1.5754286881573996,0,3,3.3000000000000003,-3.0,1.0,1.5762477513991509,1,4,2.0,0.5,291.5550900664679,352.03129872669376,3,4,1.3999999999999995,0.7000000000000002,392.8675989328811,396.72458642742566,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22222586023/lcdm_recon__mf_v0_v1__sim001__001__lmax128__nside256__phasesims2000__seed2401__run22222586023.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.0009995002498750624,22222586023,control,2401,1.1269582786030352,0.20000000000000018
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9983386020660378,1.5770301968905531,0,1,3.2,-3.0,0.9944979349772135,1.5872840478833532,1,2,2.5,0.0,539.5608759705864,724.0119809866417,1,17,2.2,0.20000000000000018,558.1686542120513,650.0333980625464,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22222586023/lcdm_recon__mf_v0_v1__sim002__002__lmax128__nside256__phasesims2000__seed2402__run22222586023.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.0009995002498750624,22222586023,control,2402,0.8978213277309562,0.20000000000000018
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9992522271474182,1.5759454097972572,0,3,3.0,-3.0,0.999969482421875,1.5764036778147485,1,2,2.5,0.20000000000000018,608.2162660738815,811.72994845872,3,10,2.1999999999999997,0.5,609.9313479531125,788.4827713320885,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22220616512/lcdm_recon__mf_v0_v1__sim000__000__lmax192__nside256__phasesims2000__seed2400__run22220616512.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,22220616512,control,2400,0.9713609468632121,0.2999999999999998
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9994165026346851,1.5755347501421257,0,4,3.2,-3.0,0.999993642171224,1.5745092030595007,1,2,2.3000000000000003,0.40000000000000036,515.3515972350989,659.1684175250559,4,11,1.8000000000000003,0.5,600.3450915156656,684.5147157779344,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22220616512/lcdm_recon__mf_v0_v1__sim001__001__lmax192__nside256__phasesims2000__seed2401__run22220616512.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,22220616512,control,2401,1.0384519306128848,0.09999999999999964
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9983794523874922,1.5770602868008148,0,1,3.1,-3.0,0.994042714436849,1.5887656234833019,1,2,2.5,0.0,843.4163494069809,1130.837659304918,1,27,2.0999999999999996,0.10000000000000009,879.2779745296534,1000.6392142304983,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22220616512/lcdm_recon__mf_v0_v1__sim002__002__lmax192__nside256__phasesims2000__seed2402__run22220616512.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,22220616512,control,2402,0.8848654853301865,0.10000000000000009
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.0,-3.0,0.9991786607106531,1.576332580976136,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,925.9310221796227,1244.670274026021,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim000__000__lmax256__nside256__phasesims2000__seed1400__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22216941911,control,1400,0.9361987797967465,0.20000000000000018
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9992759462992347,1.5758510264779089,0,3,3.0,-3.0,0.9999605814615885,1.575774613539868,1,2,2.4000000000000004,0.30000000000000027,789.3527426675721,1045.688827304035,3,15,2.0999999999999996,0.5,811.5655852448426,1028.1035576092204,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim001__001__lmax256__nside256__phasesims2000__seed1401__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22216941911,control,1401,0.9831830758485272,0.19999999999999973
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.1,-3.0,0.9984188194274897,1.5770628412636698,0,1,3.1,-3.0,0.9940541585286459,1.5895091527169285,1,2,2.4000000000000004,0.0,1170.671209682622,1566.8813105153195,1,18,2.0999999999999996,0.10000000000000009,1209.495483485279,1368.8628906749466,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim002__002__lmax256__nside256__phasesims2000__seed1402__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22216941911,control,1402,0.8736225784866576,0.10000000000000009
decision_gate_2b__lcdm_recon__mf_v0_v1,0,1,3.0,-3.0,0.9991159362792963,1.5765770846645961,0,3,2.7,-3.0,0.9991963704427084,1.5819879698755357,1,2,2.5,0.10000000000000009,1259.7245648516596,1692.2853789870962,3,12,2.7,-0.5999999999999996,1090.736855746836,1537.7027449194604,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22257679188/lcdm_recon__mf_v0_v1__sim000__000__lmax320__nside256__phasesims2000__seed1400__run22257679188.json,planck_pr3_lensing_phi_topology_mf_v0_v1,320,2000,256,0.0009995002498750624,22257679188,control,1400,0.9086545118293464,-0.6999999999999997
