control,gc_v0_mean_bump_count,gc_v0_mean_d2_sign_changes,gc_v0_mean_fwhm,gc_v0_mean_nu_peak,gc_v0_mean_peak_height,gc_v0_mean_shape_energy,gc_v0_obs_bump_count,gc_v0_obs_d2_sign_changes,gc_v0_obs_fwhm,gc_v0_obs_nu_peak,gc_v0_obs_peak_height,gc_v0_obs_shape_energy,gc_v1_mean_bump_count,gc_v1_mean_d2_sign_changes,gc_v1_mean_fwhm,gc_v1_mean_nu_peak,gc_v1_mean_peak_height,gc_v1_mean_shape_energy,gc_v1_obs_bump_count,gc_v1_obs_d2_sign_changes,gc_v1_obs_fwhm,gc_v1_obs_nu_peak,gc_v1_obs_peak_height,gc_v1_obs_shape_energy,json,kind,lmax,n_sims,nside,p_two_sided_mf,run_id,run_role,seed,v1_energy_ratio,v1_peak_shift
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9994317499796531,1.5755155814940647,0,3,3.2,-3.0,1.0,1.5743985242407972,1,2,2.3000000000000003,0.40000000000000036,346.02778413743135,443.5068512709272,3,6,1.8000000000000003,0.5,399.78931356689293,460.3727216116706,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177285559/planck_lensing_topology_mf_v0_v1__lmax128__nside256__nsims2000__seed731__run22177285559.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.0009995002498750624,22177285559,observed,731,1.038028432463697,0.09999999999999964
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9994317499796531,1.5755155814940647,0,1,3.1,-3.0,0.9990692138671875,1.5758140385863642,1,2,2.3000000000000003,0.40000000000000036,346.02778413743135,443.5068512709272,1,10,2.3000000000000003,0.30000000000000027,344.33356094461243,444.98454230759125,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22182665943/planck_lensing_topology_mf_v0_v1__lmax128__nside256__nsims2000__seed731__run22182665943.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.08695652173913043,22182665943,selftest,731,1.003331833617518,-0.10000000000000009
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9994360338846866,1.5755134418694063,0,3,3.2,-3.0,1.0,1.5743985242407972,1,2,2.3000000000000003,0.40000000000000036,346.1291080062225,443.5722756434891,3,6,1.8000000000000003,0.5,399.78931356689293,460.3727216116706,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22221595226/planck_lensing_topology_mf_v0_v1__lmax128__nside256__nsims2000__seed2400__run22221595226.json,planck_pr3_lensing_phi_topology_mf_v0_v1,128,2000,256,0.0009995002498750624,22221595226,observed,2400,1.037875329209449,0.09999999999999964
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992494837443026,1.57595337452588,0,3,3.0,-3.0,0.999969482421875,1.5764036778147485,1,2,2.5,0.20000000000000018,608.3316558526209,811.524026061859,3,10,2.1999999999999997,0.5,609.9313479531125,788.4827713320885,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177351720/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22177351720.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,22177351720,observed,731,0.971607427519325,0.2999999999999998
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992494837443026,1.57595337452588,0,1,3.1,-3.0,0.9989954630533854,1.5761879419459093,1,2,2.5,0.20000000000000018,608.3316558526209,811.524026061859,1,8,2.4000000000000004,0.20000000000000018,623.0071742056542,815.7312646247648,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22182697253/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22182697253.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.5987006496751625,22182697253,selftest,731,1.0051843672248653,0.0
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992522271474182,1.5759454097972572,0,3,3.0,-3.0,0.999969482421875,1.5764036778147485,1,2,2.5,0.20000000000000018,608.2162660738815,811.72994845872,3,10,2.1999999999999997,0.5,609.9313479531125,788.4827713320885,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22221548834/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed2400__run22221548834.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,22221548834,observed,2400,0.9713609468632121,0.2999999999999998
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140054485/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140054485.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22140054485,observed,731,0.93614674009059,0.20000000000000018
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140852340/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140852340.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22140852340,observed,731,0.93614674009059,0.20000000000000018
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22141380847/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22141380847.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22141380847,observed,731,0.93614674009059,0.20000000000000018
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22142181071/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22142181071.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,22142181071,observed,731,0.93614674009059,0.20000000000000018
